horizon,corridor,method,split,eligible_days,signal_count,target_positives,signal_hit_rate,random_hit_rate,freq_matched_hit_rate,lift,lift_freq_matched,bps_forward,signals_per_week,cluster_share,brier_score,experiment,feature_groups
1,RUB->KZT,catboost,y2022,247,3,116,0.6666666666666666,0.46963562753036436,0.4,1.4195402298850575,1.6666666666666665,-12.65306009719152,0.059322033898305086,0.0,0.24882000043756003,cbr_full_catboost,"A,B,C,E"
1,RUB->TJS,catboost,y2022,247,6,131,0.5,0.5303643724696356,0.4933333333333333,0.9427480916030534,1.0135135135135136,44.325636353815746,0.11864406779661017,0.0,0.25082500685839465,cbr_full_catboost,"A,B,C,E"
1,RUB->UZS,catboost,y2022,247,6,119,0.5,0.4817813765182186,0.48,1.0378151260504203,1.0416666666666667,-45.607601506127516,0.11864406779661017,0.0,0.2516130763551276,cbr_full_catboost,"A,B,C,E"
1,RUB->AMD,catboost,wf_oos,656,20,353,0.6,0.538109756097561,0.5429999999999999,1.115014164305949,1.1049723756906078,14.644365906571513,0.14537902388369678,0.2,0.2459686365075709,cbr_full_catboost,"A,B,C,E"
1,RUB->KGS,catboost,wf_oos,656,27,348,0.5925925925925926,0.5304878048780488,0.5488888888888889,1.1170710940825883,1.0796221322537112,21.754141697511795,0.19626168224299065,0.0,0.24928691404981324,cbr_full_catboost,"A,B,C,E"
1,RUB->KZT,catboost,wf_oos,656,24,333,0.5416666666666666,0.5076219512195121,0.4708333333333334,1.067067067067067,1.150442477876106,17.962889486046254,0.17445482866043613,0.125,0.25533244953520406,cbr_full_catboost,"A,B,C,E"
1,RUB->TJS,catboost,wf_oos,656,18,361,0.7222222222222222,0.5503048780487805,0.5433333333333333,1.3124038165589411,1.329243353783231,15.071583510863784,0.1308411214953271,0.1111111111111111,0.24481985251268923,cbr_full_catboost,"A,B,C,E"
1,RUB->UZS,catboost,wf_oos,656,17,345,0.35294117647058826,0.5259146341463414,0.5164705882352941,0.6710997442455244,0.683371298405467,-7.836787915099015,0.12357217030114226,0.0,0.2465326537002836,cbr_full_catboost,"A,B,C,E"
1,RUB->AMD,catboost,oot,247,0,132,,0.5344129554655871,,,,,0.0,,0.24545249119648574,cbr_full_catboost,"A,B,C,E"
1,RUB->KGS,catboost,oot,247,0,117,,0.47368421052631576,,,,,0.0,,0.2529107241770234,cbr_full_catboost,"A,B,C,E"
1,RUB->KZT,catboost,oot,247,0,142,,0.5748987854251012,,,,,0.0,,0.2553686881381868,cbr_full_catboost,"A,B,C,E"
1,RUB->TJS,catboost,oot,247,1,125,1.0,0.5060728744939271,0.54,1.976,1.8518518518518516,93.47204251788567,0.019230769230769232,0.0,0.24429343846326163,cbr_full_catboost,"A,B,C,E"
